A,\u3042
I,\u3044
U,\u3046
E,\u3048
O,\u304A
KA,\u304B
GA,\u304C
KI,\u304D
GI,\u304E
KU,\u304F
GU,\u3050
KE,\u3051
GE,\u3052
KO,\u3053
GO,\u3054
SA,\u3055
ZA,\u3056
SI,\u3057
ZI,\u3058
SU,\u3059
ZU,\u305A
SE,\u305B
ZE,\u305C
SO,\u305D
ZO,\u305E
TA,\u305F
DA,\u3060
TI,\u3061
DI,\u3062
TU,\u3064
DU,\u3065
TE,\u3066
DE,\u3067
TO,\u3068
DO,\u3069
NA,\u306A
NI,\u306B
NU,\u306C
NE,\u306D
NO,\u306E
HA,\u306F
BA,\u3070
PA,\u3071
HI,\u3072
BI,\u3073
PI,\u3074
HU,\u3075
BU,\u3076
PU,\u3077
HE,\u3078
BE,\u3079
PE,\u307A
HO,\u307B
BO,\u307C
PO,\u307D
MA,\u307E
MI,\u307F
MU,\u3080
ME,\u3081
MO,\u3082
YA,\u3084
YU,\u3086
YO,\u3088
RA,\u3089
RI,\u308A
RU,\u308B
RE,\u308C
RO,\u308D
WA,\u308F
WI,\u3090
WO,\u3092
N,\u3093
