A,&#12354;
I,&#12356;
U,&#12358;
E,&#12360;
O,&#12362;
KA,&#12363;
GA,&#12364;
KI,&#12365;
GI,&#12366;
KU,&#12367;
GU,&#12368;
KE,&#12369;
GE,&#12370;
KO,&#12371;
GO,&#12372;
SA,&#12373;
ZA,&#12374;
SI,&#12375;
ZI,&#12376;
SU,&#12377;
ZU,&#12378;
SE,&#12379;
ZE,&#12380;
SO,&#12381;
ZO,&#12382;
TA,&#12383;
DA,&#12384;
TI,&#12385;
DI,&#12386;
TU,&#12388;
DU,&#12389;
TE,&#12390;
DE,&#12391;
TO,&#12392;
DO,&#12393;
NA,&#12394;
NI,&#12395;
NU,&#12396;
NE,&#12397;
NO,&#12398;
HA,&#12399;
BA,&#12400;
PA,&#12401;
HI,&#12402;
BI,&#12403;
PI,&#12404;
HU,&#12405;
BU,&#12406;
PU,&#12407;
HE,&#12408;
BE,&#12409;
PE,&#12410;
HO,&#12411;
BO,&#12412;
PO,&#12413;
MA,&#12414;
MI,&#12415;
MU,&#12416;
ME,&#12417;
MO,&#12418;
YA,&#12420;
YU,&#12422;
YO,&#12424;
RA,&#12425;
RI,&#12426;
RU,&#12427;
RE,&#12428;
RO,&#12429;
WA,&#12431;
WI,&#12432;
WE,&#12433;
WO,&#12434;
N,&#12435;
